lat,lng,date,time,frp,admin1,admin2
13.92428,-90.18555,2019-03-13,1854,3.7,Jutiapa,Moyuta
13.93814,-90.17625,2019-03-13,1854,16.4,Jutiapa,Moyuta
13.93217,-90.57249,2019-03-13,1854,7,Santa Rosa,Taxisco
13.93623,-90.57323,2019-03-13,1854,7,Santa Rosa,Taxisco
13.96348,-90.77889,2019-03-13,1854,6.5,Escuintla,Masagua
13.96759,-90.77965,2019-03-13,1854,6.5,Escuintla,Masagua
13.99956,-90.70713,2019-03-13,1854,2.6,Escuintla,Masagua
14.00365,-90.70786,2019-03-13,1854,2.6,Escuintla,Masagua
13.97588,-90.8632,2019-03-13,1854,5.4,Escuintla,Masagua
13.94639,-91.09963,2019-03-13,1854,8.3,Escuintla,La Gomera
13.95059,-91.10041,2019-03-13,1854,8.3,Escuintla,La Gomera
14.05287,-90.74005,2019-03-13,1854,2.3,Escuintla,Guanagazapa
14.13661,-90.37707,2019-03-13,1854,6.6,Santa Rosa,Chiquimulilla
14.14118,-90.37445,2019-03-13,1854,5.1,Santa Rosa,Chiquimulilla
14.28664,-89.9707,2019-03-13,1854,6.6,Jutiapa,Jutiapa
14.22254,-90.34173,2019-03-13,1854,7.4,Santa Rosa,Cuilapa
14.18852,-90.80318,2019-03-13,1854,4.2,Escuintla,Escuintla
14.37157,-89.77508,2019-03-13,1854,6.7,Jutiapa,Santa Catarina Mita
14.18659,-90.80318,2019-03-13,1854,5.2,Escuintla,Escuintla
14.37335,-89.77318,2019-03-13,1854,7.9,Jutiapa,Santa Catarina Mita
14.24356,-90.6967,2019-03-13,1854,6.2,Escuintla,Escuintla
14.24288,-90.70053,2019-03-13,1854,6.2,Escuintla,Escuintla
14.24221,-90.70435,2019-03-13,1854,6.6,Escuintla,Escuintla
14.27149,-90.56216,2019-03-13,1854,3.8,Guatemala,Villa Canales
14.27084,-90.56587,2019-03-13,1854,3.8,Guatemala,Villa Canales
14.24767,-90.69723,2019-03-13,1854,6.2,Escuintla,Escuintla
14.1665,-91.25116,2019-03-13,1854,5.4,Escuintla,La Gomera
14.45252,-89.88918,2019-03-13,1854,10.7,Jalapa,Monjas
14.33143,-90.7197,2019-03-13,1854,3.2,Escuintla,Escuintla
14.25926,-91.51376,2019-03-13,1854,8.4,Suchitepéquez,Santo Domingo Suchitepéquez
14.45422,-90.6378,2019-03-13,1854,5.6,Guatemala,Amatitlán
14.36287,-91.3409,2019-03-13,1854,6.4,Suchitepéquez,Chicacao
14.47315,-90.88715,2019-03-13,1854,47.5,Chimaltenango,Yepocapa
14.47398,-90.88241,2019-03-13,1854,58.4,Chimaltenango,Yepocapa
14.74386,-90.34253,2019-03-13,1854,7.1,Guatemala,San José Del Golfo
14.73864,-90.48933,2019-03-13,1854,3.4,Guatemala,Chinautla
14.67715,-90.96005,2019-03-13,1854,4.3,Chimaltenango,Patzún
14.67867,-90.97554,2019-03-13,1854,5,Chimaltenango,Patzún
15.06881,-89.65237,2019-03-13,1854,9.1,Zacapa,Zacapa
15.10768,-90.30895,2019-03-13,1854,8.7,Baja Verapaz,Salamá
15.0529,-90.67162,2019-03-13,1854,3.3,Quiché,Joyabaj
15.3779,-88.93735,2019-03-13,1854,2.1,Izabal,Los Amates
14.99252,-91.19412,2019-03-13,1854,4.1,Quiché,San Antonio Ilotenango
15.01673,-91.15479,2019-03-13,1854,5.7,Quiché,San Antonio Ilotenango
15.19364,-90.60253,2019-03-13,1854,3.2,Baja Verapaz,Cubulco
15.3133,-90.05243,2019-03-13,1854,18.5,Alta Verapaz,Tucurú
15.18276,-91.00063,2019-03-13,1854,2.7,Quiché,San Bartolomé Jocotenango
15.40593,-90.77853,2019-03-13,1854,4.6,Quiché,Chicamán
15.48592,-91.05298,2019-03-13,1854,4.5,Quiché,Chajul
15.51462,-91.05698,2019-03-13,1854,3.2,Quiché,Chajul
15.43845,-91.53338,2019-03-13,1854,20,Huehuetenango,San Sebastián Huehuetenango
15.53426,-91.04076,2019-03-13,1854,3.5,Quiché,Chajul
15.87684,-89.77651,2019-03-13,1854,10.3,Alta Verapaz,Fray Bartolomé De Las Casas
15.87695,-89.7749,2019-03-13,1854,7.4,Alta Verapaz,Fray Bartolomé De Las Casas
15.9125,-89.81548,2019-03-13,1854,2.2,Alta Verapaz,Fray Bartolomé De Las Casas
15.81583,-91.07604,2019-03-13,1854,5.5,Quiché,Nebaj
16.22075,-89.52789,2019-03-13,1854,6.2,Petén,San Luis
15.90417,-91.59917,2019-03-13,1854,8.4,Huehuetenango,Nentón
16.18815,-90.03687,2019-03-13,1854,11.4,Petén,San Luis
15.89622,-91.83303,2019-03-13,1854,6.3,Huehuetenango,Nentón
15.89547,-91.83718,2019-03-13,1854,6.3,Huehuetenango,Nentón
16.35264,-89.48032,2019-03-13,1854,3.4,Petén,Poptún
16.35188,-89.48485,2019-03-13,1854,3.4,Petén,Poptún
16.34542,-89.59117,2019-03-13,1854,13.1,Petén,Poptún
16.29741,-89.89929,2019-03-13,1854,27.1,Petén,Poptún
16.34362,-89.58956,2019-03-13,1854,6.6,Petén,Poptún
16.34731,-89.59019,2019-03-13,1854,6.6,Petén,Poptún
16.29747,-89.89769,2019-03-13,1854,27,Petén,Poptún
16.46278,-89.20167,2019-03-13,1854,24.6,Petén,Dolores
16.60569,-89.28646,2019-03-13,1854,4.3,Petén,Dolores
16.67316,-90.21761,2019-03-13,1854,2.9,Petén,San Francisco
16.72045,-90.0067,2019-03-13,1854,3.7,Petén,San Francisco
16.68462,-90.34431,2019-03-13,1854,6.8,Petén,La Libertad
16.68845,-90.34502,2019-03-13,1854,6.8,Petén,La Libertad
16.93488,-89.72858,2019-03-13,1854,6.6,Petén,Santa Ana
16.85579,-90.25731,2019-03-13,1854,8.3,Petén,San Francisco
16.93778,-89.82354,2019-03-13,1854,10.5,Petén,Santa Ana
16.91519,-90.35757,2019-03-13,1854,4.6,Petén,La Libertad
16.94992,-90.24842,2019-03-13,1854,4.4,Petén,La Libertad
17.06691,-89.72276,2019-03-13,1854,4.4,Petén,Flores
17.03937,-90.20264,2019-03-13,1854,5.3,Petén,La Libertad
17.18587,-90.13946,2019-03-13,1854,11.6,Petén,La Libertad
17.18505,-90.1442,2019-03-13,1854,18.2,Petén,La Libertad
17.18881,-90.14491,2019-03-13,1854,18.2,Petén,La Libertad
17.19174,-90.15038,2019-03-13,1854,19.9,Petén,La Libertad
17.19468,-90.15585,2019-03-13,1854,4.5,Petén,La Libertad
17.20138,-90.16203,2019-03-13,1854,16.5,Petén,La Libertad
17.17874,-90.40757,2019-03-13,1854,6.9,Petén,La Libertad
17.17772,-90.40518,2019-03-13,1854,6.8,Petén,La Libertad
17.33285,-90.45246,2019-03-13,1854,11.9,Petén,San Andrés
